Year,All Races/Ethnicities,Black,White,Hispanic,American Indian,Asian/Pacific Islander
2006,259,351.2,256.3,199.7,226.6,161.1
2007,249,336.1,246.9,190.4,218.6,155.6
2008,241.5,323.4,240,183.4,213.3,151.8
2009,233.6,310.1,232.9,175.6,212.3,145.3
2010,228.4,301.4,228.4,170.1,207.3,140.5
2011,224.3,295.1,224.9,165.4,204.2,136.6
2012,221.4,291.7,222.5,162.5,201.6,132.7
2013,221,290.3,222.6,161.6,202.9,130.6
2014,219.8,289.2,221.8,160.9,200.9,128.9
2015,219.7,289.1,221.9,160.7,200.8,129.6
2016,217.8,288.7,220.1,159.4,196.4,129.3
2017,216.3,287,218.7,158.3,192.3,127.9
2018,217.9,296.3,219.3,162.7,191.9,130.2